time,control,MK801
9.3004,-48.21875,-40.625
9.30045,-47.8125,-40.5
9.300500000000001,-47.84375,-40.46875
9.300550000000001,-48.125,-40.90625
9.300600000000001,-48.09375,-41.21875
9.300650000000001,-47.875,-40.84375
9.3007,-47.9375,-40.71875
9.30075,-48.3125,-40.8125
9.3008,-48.34375,-41.0
9.30085,-47.90625,-40.875
9.3009,-47.8125,-40.84375
9.30095,-48.03125,-40.59375
9.301,-48.0625,-40.8125
9.30105,-48.0625,-40.75
9.3011,-47.9375,-40.5
9.30115,-48.0625,-40.40625
9.3012,-48.28125,-40.40625
9.30125,-48.125,-40.65625
9.301300000000001,-47.96875,-40.75
9.301350000000001,-47.78125,-40.28125
9.301400000000001,-48.09375,-40.125
9.30145,-48.3125,-40.53125
9.3015,-48.125,-40.8125
9.30155,-48.09375,-40.53125
9.3016,-48.3125,-40.46875
9.30165,-48.0625,-40.28125
9.3017,-47.90625,-40.78125
9.30175,-47.625,-40.71875
9.3018,-48.0625,-40.46875
9.30185,-48.3125,-40.375
9.3019,-48.21875,-40.625
9.30195,-48.0,-40.65625
9.302,-48.03125,-40.71875
9.302050000000001,-48.15625,-40.5
9.302100000000001,-48.21875,-40.40625
9.302150000000001,-47.65625,-40.6875
9.302200000000001,-47.875,-41.0625
9.30225,-48.53125,-40.75
9.3023,-48.28125,-40.46875
9.30235,-47.8125,-40.78125
9.3024,-47.78125,-41.0
9.30245,-48.0625,-40.9375
9.3025,-48.0625,-40.8125
9.30255,-47.625,-40.84375
9.3026,-47.75,-40.96875
9.30265,-48.3125,-41.09375
9.3027,-48.21875,-40.90625
9.30275,-47.875,-40.90625
9.302800000000001,-47.6875,-40.875
9.302850000000001,-48.125,-41.125
9.302900000000001,-48.1875,-41.3125
9.302950000000001,-47.90625,-41.125
9.303,-47.75,-40.9375
9.30305,-48.125,-41.09375
9.3031,-48.46875,-41.40625
9.30315,-48.28125,-41.40625
9.3032,-47.75,-41.0625
9.30325,-47.875,-41.21875
9.3033,-48.125,-41.5625
9.30335,-48.03125,-41.53125
9.3034,-48.09375,-41.25
9.30345,-48.03125,-41.3125
9.3035,-48.3125,-41.21875
9.303550000000001,-48.125,-41.5
9.303600000000001,-47.90625,-41.5625
9.303650000000001,-47.65625,-41.1875
9.303700000000001,-47.9375,-41.125
9.30375,-48.0625,-41.53125
9.3038,-48.09375,-41.75
9.30385,-48.03125,-41.59375
9.3039,-48.09375,-41.21875
9.30395,-48.21875,-41.5
9.304,-48.03125,-41.71875
9.30405,-47.65625,-41.84375
9.3041,-47.84375,-41.375
9.30415,-48.28125,-41.4375
9.3042,-48.15625,-41.78125
9.30425,-48.03125,-41.78125
9.3043,-47.875,-41.8125
9.304350000000001,-48.09375,-41.53125
9.304400000000001,-47.96875,-41.375
9.304450000000001,-47.6875,-41.8125
9.3045,-47.6875,-41.90625
9.30455,-48.21875,-41.625
9.3046,-48.3125,-41.53125
9.30465,-48.125,-41.78125
9.3047,-47.875,-42.0625
9.30475,-48.125,-41.78125
9.3048,-48.125,-41.46875
9.30485,-47.9375,-41.8125
9.3049,-47.65625,-41.90625
9.30495,-48.0,-42.21875
